<a>abbaa (find_target, a) -> find_a, x, right
x<a>bbaa (find_a, a) -> find_a, a, right
xa<b>baa (find_a, b) -> find_a, b, right
xab<b>aa (find_a, b) -> find_a, b, right
xabb<a>a (find_a, a) -> find_a, a, right
xabba<a> (find_a, a) -> find_a, a, right
xabbaa<.> (find_a, .) -> check_a, ., left
xabba<a> (check_a, a) -> check_end, x, left
xabb<a>x (check_end, a) -> windup, a, left
xab<b>ax (windup, b) -> windup, b, left
xa<b>bax (windup, b) -> windup, b, left
x<a>bbax (windup, a) -> windup, a, left
<x>abbax (windup, x) -> find_target, x, right
x<a>bbax (find_target, a) -> find_a, x, right
xx<b>bax (find_a, b) -> find_a, b, right
xxb<b>ax (find_a, b) -> find_a, b, right
xxbb<a>x (find_a, a) -> find_a, a, right
xxbba<x> (find_a, x) -> check_a, x, left
xxbb<a>x (check_a, a) -> check_end, x, left
xxb<b>xx (check_end, b) -> windup, b, left
xx<b>bxx (windup, b) -> windup, b, left
x<x>bbxx (windup, x) -> find_target, x, right
xx<b>bxx (find_target, b) -> find_b, x, right
xxx<b>xx (find_b, b) -> find_b, b, right
xxxb<x>x (find_b, x) -> check_b, x, left
xxx<b>xx (check_b, b) -> check_end, x, left
xx<x>xxx (check_end, x) -> halt, y, left

